Summary,Internal ID,Number,Account,Type,Description,Currency,Foreign Currency Balance,Balance
No,1137,12020002,Clearing AR-CARDNOW,Accounts Receivable,,,S$0.00 ,"1,009.58 "
Yes,238,13000000,Inventory,Other Current Asset,,,S$0.00 ,"887,403.46 "
No,220,13010001,Stock,Other Current Asset,,,S$0.00 ,"887,403.46 "
No,631,13010002,Inventory-adj,Other Current Asset,,,S$0.00 ,0.00 
Yes,239,14000000,Deposit & Prepayment,Other Current Asset,,,S$0.00 ,"8,713,668.80 "
No,632,14010001,Deposit,Other Current Asset,,,S$0.00 ,"5,429,282.96 "
No,633,14010002,Prepayment,Other Current Asset,,,S$0.00 ,"3,284,385.84 "
No,634,14020001,Other Receivables,Other Current Asset,,,S$0.00 ,"8,933,789.19 "
No,635,14020002,Accrued Income,Other Current Asset,,,S$0.00 ,"469,342.59 "
No,636,14020003,Amount due from Employee,Other Current Asset,,,S$0.00 ,0.00 
No,637,14020004,Amount due from Director,Other Current Asset,,,S$0.00 ,"498,532.01 "
No,1218,14020005,Amount due from Shareholder,Other Current Asset,,,S$0.00 ,"6,895.20 "
No,211,14030001,Input Tax Receivables,Other Current Asset,,,S$0.00 ,"1,629,224.64 "
No,639,14040001,Deferred Tax Assets,Other Current Asset,,,S$0.00 ,0.00 
No,640,14040002,Deferred Cost-SEC Asso Costs,Other Current Asset,,,S$0.00 ,"1,973,038.30 "
No,1372,14040003,Deferred Interest,Other Current Asset,for term loan interest,,S$0.00 ,"572,977.01 "
No,1126,14050001,Amount due from intercompany,Accounts Receivable,,,S$0.00 ,"157,584,057.87 "
No,643,14050003,Amount due from related company,Other Current Asset,,,S$0.00 ,"1,395,729.11 "
No,1134,14050004,Clearing-Intercompany,Other Current Asset,,,S$0.00 ,"(1,840,040.97)"
Yes,240,20000000,Fixed Assets,Fixed Asset,,,S$0.00 ,"32,660,196.39 "
No,644,20010001,Building,Fixed Asset,,,S$0.00 ,"1,986,102.50 "
No,645,20010002,Leasehold Improvements,Fixed Asset,,,S$0.00 ,"6,060.00 "
No,646,20010003,Furniture & Fittings,Fixed Asset,,,S$0.00 ,"42,895.57 "
No,647,20010004,Computer,Fixed Asset,,,S$0.00 ,"557,447.67 "
No,648,20010005,Computer Hardware (TRM),Fixed Asset,,,S$0.00 ,"1,300.00 "
No,649,20010006,Office Equipment,Fixed Asset,,,S$0.00 ,"143,843.26 "
No,650,20010007,PABX/Tel System,Fixed Asset,,,S$0.00 ,"191,749.50 "
No,651,20010008,EDC terminals,Fixed Asset,,,S$0.00 ,"3,238,850.00 "
No,652,20010009,Motor Vehicle,Fixed Asset,,,S$0.00 ,"12,873.03 "
No,653,20010010,Renovations,Fixed Asset,,,S$0.00 ,"2,771,615.09 "
No,654,20010011,Asset under Construction (AuC),Fixed Asset,,,S$0.00 ,"312,000.00 "
No,1143,20010012,Data Center,Fixed Asset,,,S$0.00 ,"980,398.92 "
No,655,20011001,Fixed Asset-Adj,Fixed Asset,,,S$0.00 ,0.00 
No,1238,20011002,The Plaza-Valuation,Fixed Asset,,,S$0.00 ,"26,514,897.50 "
No,665,21010001,Accum Depn-Building,Fixed Asset,,,S$0.00 ,"(516,304.30)"
No,666,21010002,Accum depn-Leasehold improve,Fixed Asset,,,S$0.00 ,"(5,726.89)"
No,667,21010003,Accum depn-F&F,Fixed Asset,,,S$0.00 ,"(7,551.75)"
No,668,21010004,Accum depn-Computer,Fixed Asset,,,S$0.00 ,"(286,561.72)"
No,669,21010005,Accum depn-Computer Hardware (TRM),Fixed Asset,,,S$0.00 ,"(1,300.00)"
No,670,21010006,Accum depn-Office Equipment,Fixed Asset,,,S$0.00 ,"(98,397.22)"
No,671,21010007,Accum depn-PABX System,Fixed Asset,,,S$0.00 ,"(134,842.71)"
No,672,21010008,Accum depn-EDC,Fixed Asset,,,S$0.00 ,"(2,246,925.64)"
No,673,21010009,Accum depn-Motor Vehicle,Fixed Asset,,,S$0.00 ,"(6,651.05)"
No,674,21010010,Accum depn-Renovations,Fixed Asset,,,S$0.00 ,"(300,741.53)"
No,675,21010011,Accum depn-AuC,Fixed Asset,,,S$0.00 ,0.00 
No,676,21010012,Accum depn-Adj,Fixed Asset,,,S$0.00 ,0.00 
No,1144,21010013,Accum depn-Data Center,Fixed Asset,,,S$0.00 ,"(494,833.84)"
Yes,1259,20020000,Right-of-Use Assets,Fixed Asset,,,S$0.00 ,"241,338.00 "
No,656,20020001,ROU-Computer,Fixed Asset,,,S$0.00 ,"308,787.00 "
No,657,20020002,ROU-Computer Hardware (TRM),Fixed Asset,,,S$0.00 ,"8,900.00 "
No,658,20020003,ROU-Computer Software,Fixed Asset,,,S$0.00 ,"136,252.20 "
No,659,20020004,ROU-Computer Software (TRM),Fixed Asset,,,S$0.00 ,"445,980.00 "
No,660,20020005,ROU-Office Equipment,Fixed Asset,,,S$0.00 ,"10,960.00 "
No,661,20020006,ROU-Office Equipment Leased,Fixed Asset,,,S$0.00 ,"259,050.37 "
No,662,20020007,ROU-The Plaza,Fixed Asset,,,S$0.00 ,0.00 
No,1366,20020008,ROU-Leased Office,Fixed Asset,ROU-Leased Office,,S$0.00 ,"176,085.37 "
No,677,21020001,Accum Depn-ROU-Computer,Fixed Asset,,,S$0.00 ,"(308,787.00)"
No,678,21020002,Accum Depn-ROU-Computer Hardware (TRM),Fixed Asset,,,S$0.00 ,"(8,900.00)"
No,679,21020003,Accum Depn-ROU-Computer Software,Fixed Asset,,,S$0.00 ,"(136,252.20)"
No,680,21020004,Accum Depn-ROU-Computer Software (TRM),Fixed Asset,,,S$0.00 ,"(445,980.00)"
No,681,21020005,Accum Depn-ROU-Office Equipment,Fixed Asset,,,S$0.00 ,"(10,714.00)"
No,682,21020006,Accum Depn-ROU-Office Equipment Leased,Fixed Asset,,,S$0.00 ,"(172,033.07)"
No,683,21020007,Accum Depn-ROU-The Plaza,Fixed Asset,,,S$0.00 ,0.00 
No,1367,21020008,Accum Depn-ROU-Leased Office,Fixed Asset,Accum Depn-ROU-Leased Office,,S$0.00 ,"(22,010.67)"
Yes,1258,20030000,Softwares,Fixed Asset,,,S$0.00 ,"3,063,981.84 "
No,663,20030001,Software,Fixed Asset,,,S$0.00 ,"5,272,449.13 "
No,664,20030002,Software (TRM),Fixed Asset,,,S$0.00 ,"486,358.20 "
No,684,21030001,Accum Depn-Software,Fixed Asset,,,S$0.00 ,"(2,208,467.29)"
No,685,21030002,Accum Depn-Software (TRM),Fixed Asset,,,S$0.00 ,"(486,358.20)"
Yes,241,22000000,Investment,Other Asset,,,S$0.00 ,"156,595,943.59 "
No,686,22010001,Investment in Subsidiary,Other Asset,,,S$0.00 ,"151,968,496.74 "
No,687,22010002,Investment in Associate,Other Asset,,,S$0.00 ,0.00 
No,688,22011001,Long Term Investment,Other Asset,,,S$0.00 ,"6,096,359.87 "
Yes,689,23000000,Impairment of Investment,Other Asset,,,S$0.00 ,0.00 
No,690,23010001,Impairment of Investment in Subsi,Other Asset,,,S$0.00 ,"(795,182.87)"
No,691,23010002,Impairment of Investment in Assoc,Other Asset,,,S$0.00 ,"(243,310.00)"
No,692,23011001,Impairment of LT Investment,Other Asset,,,S$0.00 ,"(430,420.15)"
Yes,111,30010000,Account Payables,Accounts Payable,,,S$0.00 ,"9,999,999,280,350,646.00 "
No,694,30010001,Trade Payables,Accounts Payable,,,S$0.00 ,"(7,691,010.75)"
No,695,30020001,Clearance suspense a/c,Accounts Payable,fka Trade Payable-SE,,S$0.00 ,"(457,129,921.55)"
No,696,30020002,Trade Payable-Franchise,Accounts Payable,,,S$0.00 ,"7,967.22 "
No,1285,30020003,Settlement-UPI,Accounts Payable,Fka Clearance suspense a/c-UPI,,S$0.00 ,"(1,228,154.90)"
No,697,30020004,Trade Payable-O'seas C/Mbr,Accounts Payable,,,S$0.00 ,"(4,392.00)"
No,698,30020005,Trade Payable-SE BNPL,Accounts Payable,,,S$0.00 ,"(1,501,662.00)"
No,699,30020006,Trade Payable-SE DCash,Accounts Payable,,,S$0.00 ,"(115,728.84)"
No,700,30020007,Trade Payable-SE Ready Cash,Accounts Payable,,,S$0.00 ,0.00 
No,701,30020008,CMS - Control SE Payment,Accounts Payable,,,S$0.00 ,"1,135,191.22 "
No,702,30020009,CMS - Control SE/CH,Accounts Payable,,,S$0.00 ,"(357,525.99)"
No,703,30020010,CMS - Control SE (DAS & CAS),Accounts Payable,,,S$0.00 ,"51,073.05 "
No,704,30020011,A/C Payable-SE Alipay,Accounts Payable,,,S$0.00 ,"121,379.98 "
No,705,30020012,A/C Payable-SE Wechat Pay,Accounts Payable,,,S$0.00 ,"508,238.25 "
No,1145,30020013,A/C Payable-SE CARDNOW,Accounts Payable,,,S$0.00 ,"(1,025,560.71)"
No,1198,30020014,Control A/C-Anytech/AnyACQ,Accounts Payable,,,S$0.00 ,"(4,579,909.79)"
No,1215,30020015,A/P Channel ACQ/CARDNOW,Accounts Payable,fka A/P Channel CARDNOW,,S$0.00 ,"(127,088,882.35)"
No,1219,30020016,A/C Payable-DinersClub,Accounts Payable,,,S$0.00 ,"(34,277.43)"
No,1217,30020017,Settlement-DCI,Accounts Payable,Fka Settlement A/C - Franchise,,S$0.00 ,"171,840,055.00 "
No,1220,30020018,A/C Payable-Liquid Pay,Accounts Payable,,,S$0.00 ,0.00 
No,1272,30020019,Control A/C-Balance Transfer,Accounts Payable,,,S$0.00 ,"5,769.10 "
No,1313,30020020,A/C Payables-DinersPay,Accounts Payable,,,S$0.00 ,"(2,910.23)"
No,1323,30020021,Settlement-Mastercard,Accounts Payable,Fka Clearance suspense a/c-Mastercard,,S$0.00 ,"(6,972,137.77)"
No,1368,30020022,Settlement-VISA,Accounts Payable,,,S$0.00 ,(308.40)
No,1377,30020023,Settlement-TOKEN,Accounts Payable,,,S$0.00 ,0.00 
No,706,30030001,A/c Payable-DCSAF Trust Colln,Accounts Payable,Less Collection from Securitised E/Receivables (DCSAF),,S$0.00 ,0.00 
No,1245,30030002,A/c Payable-DFSAP decrease Funding,Accounts Payable,,,S$0.00 ,(0.09)
No,1247,30030003,A/C Payable-Gross Eligible Receivables,Accounts Payable,,,S$0.00 ,"(278,211,752.55)"
No,1271,30030004,A/C Payables-Sold Seller Note,Accounts Payable,,,S$0.00 ,0.00 
No,1406,30030005,ABS Standby liquidity fund,Accounts Payable,,,S$0.00 ,0.00 
No,707,30040001,DCI Royalty Payable,Accounts Payable,,,S$0.00 ,"16,333.33 "
No,708,30040002,Rebates Payable-Retail Cobrand/Shops,Accounts Payable,,,S$0.00 ,"(413,346.33)"
No,709,30050001,Interest deferred-Dcash,Accounts Payable,Fka Interest suspense-Dcash,,S$0.00 ,"(3,005,659.39)"
No,710,30050002,Interest deferred-RAS,Accounts Payable,Fka Interest suspense-RAS,,S$0.00 ,"(25,521.41)"
No,711,30050003,Interest deferred-SME LOAN,Accounts Payable,Fka Interest suspense-SME LOAN,,S$0.00 ,"(21,345.81)"
No,712,30050004,Interest deferred-SFRP,Accounts Payable,Fka Interest suspense-SFRP,,S$0.00 ,"(200,178.09)"
No,1278,30050005,Interest deferred-BizCash,Accounts Payable,Fka Interest suspense-BizCash,,S$0.00 ,0.00 
No,1256,30060100,A/C Payables-Credit Balance,Accounts Payable,,,S$0.00 ,"9,999,999,996,274,826.00 "
No,1386,30060200,A/C Payables-C'mbr Credit Bal,Accounts Payable,Audit balance adjustment,,S$0.00 ,0.00 
No,1379,30020024,Settlement-iFAST,Accounts Payable,iFast settlement for 1st Jobber CHs who opt for invst credit,,S$0.00 ,0.00 
No,1405,30030006,to be used for new bank acct opening,Bank,to be used for new bank acct opening,SGD,S$0.00 ,0.00 
No,1235,30080001,A/C Payables - Staff,Accounts Payable,,,S$0.00 ,"(37,473.43)"
No,713,31010000,Other Payable,Other Current Liability,,,S$0.00 ,"(12,262,530.94)"
No,714,31010001,Other payables,Other Current Liability,,,S$0.00 ,"(1,676,049.13)"
No,210,31010002,Output Tax Payables,Other Current Liability,,,S$0.00 ,"(1,648,533.71)"
No,716,31010003,Withholding Tax payables,Other Current Liability,,,S$0.00 ,"2,301.84 "
No,1236,31010005,Other Payables (HDB),Other Current Liability,,,S$0.00 ,"(5,062,911.56)"
No,1311,31010006,VA Top Up,Other Current Liability,,,S$0.00 ,"(3,877,698.38)"
No,1356,31010007,VA Top Up clearing,Other Current Liability,To monitor the VA transfer in transit,,S$0.00 ,360.00 
